sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,group0_reach,group1_reach,group2_reach
beta,0.0,imm,6,76.63333333333334,0.4775,0.017339406000019153,0.4833333333333333,0.4775,0.7977777777777779
beta,0.0,mf_bwi_fair,6,103.23333333333333,0.6949999999999998,0.21850470100002894,0.6949999999999998,0.8766666666666666,0.9044444444444444
beta,0.0,repeated_greedy,6,105.5,0.8616666666666667,9.202103343999966,0.8766666666666665,0.8616666666666667,0.8916666666666665
beta,0.1,kkt_greedy,6,73.86666666666666,0.5041666666666667,0.016754489000049944,0.5583333333333332,0.5041666666666667,0.7088888888888889
beta,0.1,fair_greedy,6,67.56666666666666,0.3866666666666667,0.01540416800003186,0.3866666666666667,0.5216666666666667,0.6494444444444446
beta,0.1,imm,6,75.23333333333333,0.4366666666666666,0.017111795999994683,0.5316666666666666,0.4366666666666666,0.7855555555555558
beta,0.1,mf_bwi_fair,6,102.76666666666667,0.7100000000000001,0.2197885440000391,0.7100000000000001,0.8500000000000001,0.9094444444444445
beta,0.1,repeated_greedy,6,105.2,0.8574999999999998,9.133583796000039,0.8799999999999997,0.8574999999999998,0.8883333333333331
beta,0.2,kkt_greedy,6,68.33333333333333,0.39833333333333343,0.015415536999967117,0.39833333333333343,0.5183333333333334,0.6605555555555555
beta,0.2,fair_greedy,6,63.46666666666667,0.32166666666666666,0.014674712000100953,0.51,0.32166666666666666,0.6733333333333335
beta,0.2,imm,6,63.766666666666666,0.35666666666666663,0.014662720000046647,0.3983333333333333,0.35666666666666663,0.6922222222222224
beta,0.2,mf_bwi_fair,6,102.26666666666667,0.6683333333333332,0.2083226489999106,0.6683333333333332,0.8558333333333332,0.911111111111111
beta,0.2,repeated_greedy,6,101.86666666666666,0.8400000000000002,8.45861330799994,0.8400000000000002,0.845,0.8544444444444445
beta,0.3,kkt_greedy,6,63.5,0.44000000000000006,0.01454047200002151,0.44000000000000006,0.5025000000000001,0.5766666666666665
beta,0.3,fair_greedy,6,67.33333333333333,0.45166666666666655,0.014633788999958597,0.53,0.45166666666666655,0.6444444444444445
beta,0.3,imm,6,59.7,0.3250000000000001,0.01368784599992523,0.3250000000000001,0.4316666666666667,0.5988888888888888
beta,0.3,mf_bwi_fair,6,102.46666666666667,0.6633333333333333,0.2171354939999901,0.6633333333333333,0.8808333333333334,0.8994444444444445
beta,0.3,repeated_greedy,6,99.4,0.808333333333333,8.228009045000022,0.808333333333333,0.8149999999999998,0.8438888888888888
beta,0.5,kkt_greedy,6,57.666666666666664,0.3466666666666666,0.013409989000024325,0.3466666666666666,0.3616666666666667,0.6044444444444443
beta,0.5,fair_greedy,6,56.4,0.3891666666666666,0.012762896000026558,0.39500000000000013,0.3891666666666666,0.548888888888889
beta,0.5,imm,6,62.233333333333334,0.41666666666666674,0.014012158000014097,0.445,0.41666666666666674,0.6111111111111109
beta,0.5,mf_bwi_fair,6,101.93333333333334,0.6166666666666666,0.22753925799997887,0.6166666666666666,0.8783333333333336,0.9077777777777778
beta,0.5,repeated_greedy,6,93.93333333333334,0.7805555555555556,7.6311903179999945,0.7933333333333333,0.7808333333333334,0.7805555555555556
beta,0.7,kkt_greedy,6,53.36666666666667,0.29,0.012859692000006362,0.29,0.3825,0.5377777777777778
beta,0.7,fair_greedy,6,48.46666666666667,0.27749999999999997,0.011636156999998093,0.38,0.27749999999999997,0.49611111111111106
beta,0.7,imm,6,48.7,0.305,0.012042916999916997,0.305,0.3316666666666667,0.488888888888889
beta,0.7,mf_bwi_fair,6,100.26666666666667,0.6099999999999999,0.22406983799999125,0.6099999999999999,0.8641666666666669,0.8916666666666667
beta,0.7,repeated_greedy,6,92.7,0.7466666666666666,7.5124850230000675,0.7466666666666666,0.7575000000000001,0.7911111111111111
